=== 2026-09-17 필터 통계 ===
  수집               578건
  중복 제거            4건
  지역 제외            298건
  상태 제외            0건
  고용형태 제외          48건
  경력구분 제외          50건
  제외어              3건
  키워드 미매칭          1건
  트랙A 매칭           0건
  트랙B 매칭           1건
----------------------------------------
[MOEF][강원] 한전KPS(주) | 한전KPS(주)강원충북전력지사 단기노무원(춘천지점 차량순시) 채용공고(24차) | 건설,전기.전자 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][인천] 한국환경공단 | 한국환경공단(본사) 사업장대기처 측정대행관리부 기간제근로자(촉탁 라급) 채용 공고 | 화학,환경.에너지.안전 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][서울,부산,대구] 한국공항공사 | 2026년도 하반기 신입사원 안전직(공항보안 및 보안검색감독) 공개채용 | 운전.운송,경비.청소 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][강원] 한국장애인개발원 | [제2026-110호] 2026년도 제8차 강원특별자치도장애아동·발달장애인지원센터 체험형  | 사회복지.종교 | 신입+경력 | 청년인턴(체험형) | 지역외: 강원
[MOEF][서울,부산,대구] 한국공항공사 | 2026년도 하반기 신입사원 보훈(공항보안) 채용 | 경비.청소 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][세종] 한국법제연구원 | 2026년도 제2차 정규직(부연구위원) 제한경쟁 채용 공고 | 교육.자연.사회과학,연구 | 신입+경력 | 정규직 | 지역외: 세종
[MOEF][서울,부산,울산] 한국공항공사 | 2026년도 하반기 신입사원 구조소방(소방원 및 응급구조사) 공개채용 | 법률.경찰.소방.교도.국방 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][서울,부산,대구] 한국공항공사 | 2026년도 하반기 신입사원(5급갑, 6급갑 고졸수준) 공개채용 | 사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,운전.운송,경비.청소,건설,정보통신,환경.에너지.안전 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][인천] 대한적십자사 | 경인권역재활병원 정규직 방사선사 채용 공고(2026.10.26.임용) | 보건.의료 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][강원] 국립공원공단 | [설악산] 2026년 국립공원지킴이(녹색순찰대) 모집 추가접수 공고 | 경비.청소,이용.숙박.여행.오락.스포츠,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][서울,부산,대구] 국민건강보험공단 | 2026년도 하반기 국민건강보험공단 신규직원 채용 공고 | 경영.회계.사무,보건.의료,사회복지.종교,이용.숙박.여행.오락.스포츠,정보통신 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][강원] 주택관리공단(주) | 채용형 인턴 채용공고(주택관리공단 강원지사) | 경영.회계.사무 | 신입+경력 | 청년인턴(채용형) | 지역외: 강원
[MOEF][경기] 대한법률구조공단 | 대한법률구조공단 의정부지부 청년인턴 공개경쟁 채용시험 공고 | 경영.회계.사무,법률.경찰.소방.교도.국방 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][울산] 한전KPS(주) | 한전KPS(주)울산사업소 단기노무원 모집(2차) | 경비.청소,건설,기계 | 신입+경력 | 비정규직 | 지역외: 울산
[MOEF][부산] 한국토지주택공사 | 한국토지주택공사 부산울산지역본부 기간제근로자(전세사기 피해자 지원 업무보조) 채용공고 | 경영.회계.사무,영업판매 | 신입+경력 | 비정규직 | 지역외: 부산
[MOEF][경남] 학교법인한국폴리텍 | 2026년 한국폴리텍대학 항공캠퍼스 청년인턴(일반) 2차 채용 공고 | 경영.회계.사무 | 신입+경력 | 청년인턴(체험형) | 지역외: 경남
[MOEF][인천] 한국스포츠레저(주) | 한국스포츠레저(주) 전임직 채용공고 | 이용.숙박.여행.오락.스포츠 | 신입 | 비정규직 | 경력구분 제외: 신입 단독
[MOEF][충북] 한국식품안전관리인증원 | 2026년 제12차 계약직직원 채용 | 경영.회계.사무,보건.의료 | 신입+경력 | 비정규직 | 지역외: 충북
[MOEF][광주,전남] 전남대학교병원 | 2026년도 전임의사 상시 공개채용 변경 공고 | 보건.의료 | 신입 | 정규직 | 지역외: 광주,전남
[MOEF][전남광주] 국립공원공단 | [다도해서부] 다도해해상국립공원서부사무소 기간제[한시인력_환경관리(해양)] 직원 채용  | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][강원] 근로복지공단 | [태백병원] 기술기능직(기술_환경관리) 채용 공고 | 보건.의료,환경.에너지.안전 | 신입+경력 | 정규직 | 지역외: 강원
[MOEF][경북] 국립공원공단 | [주왕산] 2026년도 주왕산국립공원 한시인력(수익시설) 직원 2차 추가 채용 | 경비.청소 | 신입+경력 | 비정규직 | 지역외: 경북
